epoch,step,train_loss,val_loss
0,49,0.24321097135543823,
0,99,0.20513451099395752,
0,149,0.403257817029953,
0,199,0.35900023579597473,
0,249,0.4550875723361969,
0,299,0.18802277743816376,
0,349,0.05537480115890503,
0,399,0.2652023732662201,
0,449,0.1368868201971054,
0,499,0.16066227853298187,
0,549,0.19483579695224762,
0,599,0.22816666960716248,
0,649,0.20490123331546783,
0,699,0.10227981209754944,
0,749,0.229501411318779,
0,799,0.2519591450691223,
0,849,0.1509145051240921,
0,899,0.0420016311109066,
0,937,,0.16687129437923431
